name,s,e,c
BCL9,73257,73757,73507
BCL9L,967101,967601,967351;967351
BCLAF1,599330,599830,599580
BCO1,1245303,1245803,1245553
BCO2,963734,964234,963984;963984
BCOR,1460256,1460796,1460506;1460506;1460546
BCORL1,1504847,1505347,1505097
BCS1L,234139,234639,234389
BDH1,344618,345127,344868;344877;344874
BDKRB1,1148087,1148587,1148337;1148337
BDKRB2,1148061,1148570,1148311;1148320
BDNF,921551,922082,921822;921831;921822;921821;921832;921822;921831;921801
BDP1,475942,476442,476192
BEAN1,1237897,1238404,1238147;1238154
BECN1,1270333,1270833,1270583
BEGAIN,1150243,1150744,1150493;1150494;1150493
BEND2,1449397,1449897,1449647
BEND3,584739,585242,584992;584989
BEND4,366066,366566,366316
BEND5,24372,24872,24622
BEND6,559435,559935,559685
BEND7,846715,847215,846965
BEST1,938569,939070,938819;938819;938820
BEST2,1335913,1336413,1336163
BEST3,1010256,1010761,1010511;1010506
BEST4,22377,22877,22627
BET1,663399,663899,663649
BET1L,907961,908314,908064
BEX1,1491437,1491937,1491687;1491687
BEX2,1491560,1492060,1491810;1491810
BEX5,1490983,1491483,1491233
BF,546981,547481,547231
BFAR,1212030,1212530,1212280;1212280
BFSP1,1367802,1368321,1368071;1368052;1368066
BFSP2,312536,313036,312786
BGLAP,77856,78356,78106
BGN,1516658,1517158,1516908
BHLHA15,665503,666003,665753
BHLHB9,1491265,1491779,1491515;1491528;1491529
BHLHE22,728899,729399,729149
BHLHE23,1389866,1390366,1390116
BHLHE40,248487,248987,248737
BHLHE41,988353,988853,988603;988603
BHMT,479770,480270,480020
BHMT2,479749,480249,479999
BICC1,870079,870579,870329
BICD1,991345,991845,991595;991595
BICD2,817099,817599,817349
BID,1423747,1424253,1424003;1424003;1423997;1424003
BIK,1436378,1436878,1436628
BIN1,188309,188809,188559;188559
BIN2,1001073,1001574,1001323;1001324
BIN3,707416,707916,707666
BIRC2,958819,959320,959069;959070;959070
BIRC3,958805,959307,959055;959057
BIRC5,1287950,1288450,1288200;1288200
BIRC6,140668,141168,140918
BIRC7,1389980,1390480,1390230
BIVM,1093866,1094366,1094116
BIVM-ERCC5,1093870,1094370,1094120
BLCAP,1377123,1377625,1377373;1377375;1377375
BLK,701828,702332,702082;702078
BLM,1199031,1199531,1199281
BLMH,1264154,1264654,1264404
BLNK,888958,889458,889208
BLOC1S1,1003269,1003769,1003519
BLOC1S2,890964,891466,891216;891216;891214
BLOC1S4,348347,348847,348597
BLOC1S5,535057,535557,535307
BLOC1S6,1176340,1176840,1176590
BLVRA,638482,638984,638732;638734
BLVRB,1349967,1350467,1350217
BLZF1,84419,84919,84669;84669
BMF,1173600,1174101,1173851;1173850;1173850;1173850
BMI1,851248,851748,851498;851498
BMP1,707164,707664,707414;707414;707414
BMP2,1362421,1362921,1362671
BMP2K,384837,385337,385087
BMP3,385965,386465,386215
BMP4,1126936,1127437,1127187;1127186;1127186
BMP5,558895,559395,559145
BMP6,534888,535388,535138
BMP7,1386967,1387467,1387217;1387217
BMP8A,19729,20229,19979
BMP8B,19878,20378,20128
BMPER,633555,634055,633805;633805
BMPR1A,884201,884701,884451;884451
BMPR1B,392828,393495,393078;393225;393197;393132;393245
BMPR2,225997,226497,226247
BMS1,861582,862082,861832
BMX,1448037,1448540,1448287;1448290
BNC1,1195377,1195877,1195627;1195627
BNC2,777771,778271,778021
BNIP1,526852,527352,527102
BNIP2,1183391,1183891,1183641
BNIP3,906840,907340,907090
BNIP3L,709273,709773,709523
BNIPL,75255,75755,75505
BOC,302442,302942,302692;302692
BOD1,527088,527588,527338
BOD1L1,351803,352303,352053
BOD1L2,1317850,1318350,1318100
BOK,245626,246126,245876;245876
BOLA1,74686,75186,74936
BOLA2,1219400,1219900,1219650
BOLA2B,1219769,1220269,1220019
BOLA3,161564,162064,161814
BOLL,223702,224202,223952;223952;223952
BOP1,768910,769410,769160
BORCS5,981470,981970,981720
BORCS6,1253891,1254391,1254141
BORCS7,892249,892749,892499
BORCS8,1339133,1339633,1339383
BORCS8-MEF2B,1339133,1339633,1339383
BPGM,683748,684255,684005;683998
BPHL,532584,533084,532834;532834
BPI,1377513,1378013,1377763
BPIFA1,1374958,1375458,1375208
BPIFA2,1374924,1375424,1375174
BPIFA3,1374949,1375449,1375199
BPIFB1,1374982,1375482,1375232
BPIFB2,1374844,1375344,1375094
BPIFB6,1374856,1375356,1375106
BPNT1,109882,110382,110132
BPTF,1282755,1283255,1283005
BPY2B,1531298,1531798,1531548
BRAF,686895,687395,687145
BRAP,1031276,1031776,1031526
BRAT1,617880,618380,618130;618130
BRCA1,1270479,1270983,1270733;1270733;1270729
BRCA2,1058585,1059085,1058835;1058835
BRCC3,1517427,1517927,1517677
BRD1,1439734,1440235,1439985;1439984
BRD2,547493,547995,547744;547744;547743;547745;547745
BRD3,837802,838302,838052
BRD4,1337176,1337677,1337426;1337427
BRD7,1229868,1230368,1230118;1230118
BRD8,509324,509824,509574;509574
BRD9,441013,441513,441263;441263
BRDT,45958,46459,46208;46209
BRE,138433,138933,138683
BRF1,1152583,1153116,1152859;1152859;1152866;1152833;1152866
BRF2,715006,715506,715256
BRI3,665538,666038,665788
BRI3BP,1037954,1038454,1038204
BRICD5,1205798,1206298,1206048
BRINP1,830401,830901,830651
BRINP2,88321,88821,88571
BRINP3,94965,95474,95224;95215
BRIP1,1279815,1280315,1280065
BRIX1,458024,458524,458274
BRK1,251055,251555,251305
BRMS1,940767,941267,941017
BRMS1L,1117873,1118373,1118123
BROX,111193,111694,111443;111444;111444
BRPF1,250863,251363,251113
BRPF3,549107,549607,549357;549357
BRS3,1508063,1508563,1508313
BRSK1,1357379,1357879,1357629
BRSK2,908416,908933,908666;908683;908666;908676;908677
BRWD1,1410902,1411402,1411152;1411152
BRWD3,1480310,1480810,1480560
BSCL2,938947,939448,939197;939198
BSG,1329767,1330268,1330018;1330017
BSN,270772,271272,271022
BSND,27483,27983,27733
BSPH1,1353729,1354229,1353979
BSPRY,827391,827891,827641
BST1,352841,353341,353091
BST2,1338240,1338740,1338490
BTAF1,886784,887284,887034
BTBD10,914441,914953,914703;914691;914703
BTBD11,1029071,1029571,1029321
BTBD16,901958,902458,902208
BTBD18,936470,936970,936720
BTBD19,22388,22888,22638
BTBD2,1330489,1330989,1330739
BTBD3,1364982,1365496,1365246;1365232;1365233
BTBD6,1152583,1153083,1152833
BTBD7,1146625,1147125,1146875
BTBD8,46023,46523,46273
BTBD9,550306,550828,550578;550556
BTC,382848,383348,383098
BTD,253798,254298,254048;254048
BTF3,476964,477464,477214;477214
BTF3L4,26011,26511,26261;26261
BTG1,1021484,1021984,1021734
BTG2,101388,101888,101638
BTG3,1400052,1400552,1400302
BTG4,963402,963902,963652
BTK,1490598,1491100,1490848;1490850
BTLA,302086,302586,302336
BTN2A1,544254,544754,544504
BTN2A2,544216,544716,544466
BTN3A1,544226,544726,544476
BTN3A2,544207,544707,544457
BTN3A3,544245,544745,544495
BTNL3,530774,531273,531024
BTNL8,530730,531235,530985;530980
BTNL9,530800,531274,531050;531050
BTRC,891499,891999,891749
BUB1,180094,180594,180344
BUB1B,1173627,1174127,1173877
BUB3,902399,902900,902650;902649
BUD13,966032,966532,966282
BUD31,666086,666586,666336;666336
BVES,583817,584317,584067;584067;584067
BYSL,551969,552469,552219
BZRAP1,1278047,1278548,1278298;1278297
BZRP,1436398,1436898,1436648
BZW1,225215,225715,225465;225465;225465
BZW2,624925,625433,625183;625175
C10orf105,876682,877191,876932;876941;876932
C10orf107,871654,872154,871904
C10orf11,878714,879214,878964
C10orf12,889313,889813,889563
C10orf120,902172,902672,902422
C10orf128,865141,865641,865391
C10orf131,888776,889276,889026
C10orf142,862337,862837,862587
C10orf2,891316,891816,891566
C10orf35,875637,876137,875887
C10orf53,865386,865886,865636
C10orf54,876709,877209,876959
C10orf55,877781,878281,878031
C10orf62,889617,890117,889867
C10orf67,851759,852259,852009
C10orf71,865196,865696,865446
C10orf76,891848,892350,892100;892098
C10orf82,899157,899657,899407
C10orf88,902299,902799,902549
C10orf99,882909,883409,883159
C11orf1,963585,964086,963836;963835
C11orf16,912188,912688,912438
C11orf21,908872,909372,909122
C11orf24,941728,942230,941980;941978
C11orf30,945789,946289,946039;946039
C11orf42,910824,911324,911074
C11orf45,972098,972598,972348;972348
C11orf49,931190,931690,931440
C11orf52,963605,964105,963855
C11orf53,963274,963774,963524
C11orf54,954448,954948,954698
C11orf57,963683,964183,963933
C11orf58,916091,916591,916341
C11orf63,969087,969587,969337
C11orf65,961880,962380,962130
C11orf68,940554,941054,940804
C11orf70,958670,959170,958920
C11orf71,964846,965346,965096;965096
C11orf73,950717,951217,950967
C11orf74,926019,926519,926269;926269
C11orf80,940967,941467,941217
C11orf84,939501,940001,939751
C11orf85,940080,940580,940330
C11orf86,941082,941582,941332
C11orf87,962357,962857,962607
C11orf88,963403,963903,963653
C11orf91,924572,925072,924822
C11orf94,930675,931175,930925
C11orf95,939479,939979,939729
C11orf96,929693,930193,929943
C11orf98,938927,939427,939177
C12orf10,1002061,1002561,1002311
C12orf29,1019429,1019929,1019679
C12orf4,977537,978038,977788;977787
C12orf40,995224,995724,995474
C12orf42,1027159,1027659,1027409;1027409
C12orf43,1035942,1036442,1036192
C12orf45,1027905,1028405,1028155
C12orf49,1033802,1034302,1034052
C12orf50,1019426,1019926,1019676
C12orf54,999653,1000153,999903
C12orf56,1007607,1008107,1007857
C12orf57,978741,979241,978991;978991
C12orf60,982693,983193,982943
C12orf65,1037073,1037573,1037323;1037323
C12orf66,1007523,1008023,1007773;1007773
C12orf71,988832,989332,989082
C12orf73,1027390,1027890,1027640
C12orf74,1021763,1022263,1022013;1022013
C12orf75,1028077,1028577,1028327
C14ORF100,1129701,1130201,1129951
C14ORF129,1148140,1148640,1148390
C14ORF2,1151919,1152419,1152169
C14ORF92,1110698,1111198,1110948
C14orf1,1137789,1138289,1138039;1138039
C14orf105,1128706,1129206,1128956
C14orf119,1111507,1112007,1111757
C14orf142,1146562,1147062,1146812
C14orf159,1145516,1146016,1145766;1145766;1145766
C14orf166,1125954,1126454,1126204
C14orf169,1136704,1137204,1136954
C14orf177,1149314,1149814,1149564
C14orf178,1138839,1139339,1139089;1139089
C14orf180,1152249,1152749,1152499
C14orf28,1122409,1122909,1122659
C14orf37,1129035,1129535,1129285
C14orf39,1130202,1130702,1130452
C14orf79,1152452,1152952,1152702
C14orf80,1152704,1153204,1152954;1152954;1152954
C14orf93,1111464,1111965,1111715;1111714
C15orf38-AP3S2,1198629,1199129,1198879
C15orf39,1191148,1191648,1191398
C15orf40,1195241,1195741,1195491
C15orf41,1171836,1172353,1172086;1172103;1172094
C15orf43,1176025,1176525,1176275
C15orf48,1176262,1176762,1176512;1176512
C15orf52,1173717,1174217,1173967
C15orf53,1172895,1173395,1173145
C15orf57,1173829,1174329,1174079
C15orf61,1187307,1187807,1187557
C15orf62,1173932,1174432,1174182
C15orf65,1181251,1181751,1181501
C16orf13,1205010,1205510,1205260
C16orf45,1212431,1212931,1212681;1212681
C16orf46,1245222,1245722,1245472
C16orf52,1215676,1216176,1215926
C16orf54,1219545,1220045,1219795
C16orf58,1220426,1220926,1220676
C16orf59,1205922,1206422,1206172
C16orf62,1214450,1214950,1214700
C16orf70,1238238,1238738,1238488
C16orf72,1209259,1209759,1209509
C16orf74,1247558,1248059,1247809;1247808
C16orf78,1229370,1229870,1229620
C16orf86,1238517,1239017,1238767
C16orf87,1228099,1228599,1228349
C16orf89,1207224,1207725,1207474;1207475
C16orf90,1206439,1206939,1206689
C16orf91,1205402,1205902,1205652
C16orf92,1219684,1220184,1219934
C16orf95,1248342,1248842,1248592
C16orf96,1206970,1207470,1207220
C17orf104,1271211,1271711,1271461
C17orf105,1270773,1271273,1271023
C17orf107,1252246,1252746,1252496
C17orf47,1278155,1278655,1278405
C17orf49,1253303,1253804,1253554;1253553
C17orf50,1266888,1267388,1267138
C17orf51,1260572,1261072,1260822
C17orf53,1270954,1271454,1271204
C17orf58,1282839,1283339,1283089;1283089
C17orf62,1290049,1290549,1290299
C17orf64,1279094,1279594,1279344
C17orf67,1277300,1277800,1277550
C17orf74,1253509,1254009,1253759
C17orf75,1265179,1265679,1265429
C17orf78,1267711,1268211,1267961
C17orf80,1285459,1285959,1285709;1285709
C17orf89,1289451,1289951,1289701
C17orf96,1268260,1268760,1268510
C17orf97,1250096,1250475,1250225
C17orf98,1268343,1268843,1268593
C17orf99,1287916,1288416,1288166
C18orf21,1307219,1307719,1307469
C18orf25,1312319,1312832,1312569;1312582
C18orf32,1313949,1314449,1314199
C18orf42,1293041,1293541,1293291
C18orf54,1316385,1316885,1316635;1316635
C18orf63,1326434,1326934,1326684
C18orf8,1300984,1301484,1301234
C19orf12,1344581,1345085,1344835;1344834;1344831;1344835
C19orf18,1358724,1359224,1358974
C19orf24,1330119,1330619,1330369
C19orf25,1330221,1330721,1330471;1330471
C19orf33,1348879,1349379,1349129
C19orf35,1330623,1331123,1330873
C19orf38,1334961,1335461,1335211
C19orf43,1335904,1336404,1336154
C19orf44,1337785,1338285,1338035
C19orf45,1333263,1333763,1333513
C19orf47,1349909,1350409,1350159
C19orf48,1355134,1355636,1355385;1355386;1355384;1355385
C19orf52,1335001,1335501,1335251
C19orf53,1336424,1336924,1336674;1336674
C19orf54,1350109,1350609,1350359
C19orf57,1336490,1336990,1336740
C19orf60,1338831,1339331,1339081
C19orf66,1334580,1335080,1334830
C19orf67,1336580,1337080,1336830
C19orf68,1353818,1354318,1354068
C19orf70,1332322,1332822,1332572;1332572
C19orf71,1331251,1331751,1331501
C19orf73,1354293,1354793,1354543
C19orf80,1335157,1335657,1335407
C19orf81,1355058,1355558,1355308
C19orf84,1355428,1355928,1355678
C1D,158515,159022,158772;158765
C1GALT1,620194,620694,620444;620444
C1GALT1C1,1500159,1500659,1500409
C1GALT1C1L,146328,146828,146578
C1QA,11232,11732,11482
C1QB,11240,11743,11490;11493
C1QBP,1252516,1253016,1252766
C1QC,11236,11736,11486
C1QL1,1271367,1271867,1271617
C1QL2,184335,184835,184585
C1QL3,848224,848725,848474;848475
C1QL4,1000080,1000580,1000330
C1QTNF1,1288354,1288856,1288605;1288604;1288606
C1QTNF2,520465,520965,520715
C1QTNF3,457588,458088,457838
C1QTNF4,931518,932019,931768;931769
C1QTNF5,967316,967816,967566;967566
C1QTNF6,1433417,1433917,1433667
C1QTNF7,352659,353196,352909;352927;352946
C1QTNF8,1205240,1205740,1205490
C1QTNF9,1054582,1055082,1054832
C1R,978837,979337,979087
C1RL,978845,979345,979095
C1S,978798,979299,979049;979048
C1orf100,122008,122508,122258
C1orf101,122063,122563,122313;122313
C1orf105,85945,86445,86195
C1orf106,100181,100682,100432;100431
C1orf109,18829,19329,19079
C1orf111,80924,81424,81174
C1orf112,84633,85133,84883
C1orf115,110182,110682,110432
C1orf116,103354,103854,103604
C1orf122,18887,19387,19137;19137;19137
C1orf123,26594,27094,26844
C1orf127,5272,5772,5522
C1orf131,115439,115939,115689
C1orf141,33549,34049,33799
C1orf146,46092,46592,46342
C1orf158,6154,6654,6404
C1orf159,276,776,526
C1orf162,55759,56259,56009
C1orf168,28393,28893,28643
C1orf174,1659,2159,1909
C1orf185,25534,26034,25784
C1orf186,102874,103395,103124;103145
C1orf189,76840,77340,77090
C1orf194,54579,55079,54829
C1orf198,115246,115753,115503;115503;115496;115503
C1orf21,91929,92429,92179
C1orf210,21626,22126,21876;21876
C1orf216,17843,18343,18093;18093
C1orf226,80926,81426,81176
C1orf228,22321,22821,22571
C1orf233,518,1018,768
C1orf234,11422,11922,11672
C1orf27,92923,93423,93173
C1orf35,113896,114396,114146
C1orf43,76847,77347,77097
C1orf50,21367,21867,21617
C1orf52,42613,43113,42863
C1orf53,98686,99186,98936
C1orf54,74871,75373,75123;75121
C1orf56,75261,75761,75511
C1orf61,77946,78450,78200;78196
C1orf64,7916,8416,8166
C1orf74,104729,105229,104979
C1orf87,30020,30520,30270
C1orf94,17067,17572,17317;17317;17322
C1orf95,113119,113619,113369
C2,546957,547472,547207;547222;547222;547209
C20ORF111,1380466,1380966,1380716
C20ORF29,1360947,1361447,1361197
C20ORF31,1375914,1376414,1376164
C20ORF43,1386568,1387068,1386818
C20ORF44,1376046,1376546,1376296
C20orf141,1360444,1360944,1360694
C20orf144,1375172,1375672,1375422
C20orf173,1376105,1376605,1376355
C20orf194,1360741,1361241,1360991
C20orf195,1390139,1390639,1390389;1390389
C20orf196,1361912,1362412,1362162
C20orf24,1376664,1377164,1376914
C20orf27,1360921,1361421,1361171;1361171
C20orf85,1387409,1387909,1387659
C20orf96,1359297,1359682,1359432
C21orf2,1413439,1413939,1413689
C21orf33,1413336,1413836,1413586
C21orf58,1414429,1414874,1414681;1414679;1414680
C21orf59,1407552,1408052,1407802;1407802
C21orf91,1400155,1400655,1400405
C22orf15,1426677,1427177,1426927
C22orf23,1433799,1434299,1434049
C22orf29,1424546,1425046,1424796
C22orf39,1424342,1424842,1424592
C22orf42,1430902,1431402,1431152
C22orf46,1435668,1436168,1435918
C2CD2,1412231,1412747,1412497;1412483;1412481
C2CD3,944652,945152,944902
C2CD4A,1184580,1185080,1184830
C2CD4B,1184629,1185129,1184879
C2CD4C,1329732,1330186,1329936;1329936
C2CD5,986563,987063,986813;986813
C2orf15,174255,174755,174505
C2orf40,177718,178218,177968
C2orf42,159581,160086,159836;159831
C2orf44,136512,137012,136762
C2orf47,224787,225287,225037
C2orf49,177353,177853,177603
C2orf50,130013,130513,130263
C2orf54,245292,245794,245544;245542
C2orf57,240605,241105,240855
C2orf61,148068,148568,148318
C2orf66,223214,223714,223464
C2orf68,167296,167796,167546
C2orf69,224764,225264,225014
C2orf70,137769,138269,138019
C2orf72,240328,240828,240578
C2orf73,151655,152155,151905
C2orf74,155063,155563,155313
C2orf76,184425,184939,184689;184675
C2orf78,161382,161882,161632
C2orf80,228902,229404,229154;229152
C2orf81,161699,162199,161949
C2orf82,241244,241744,241494
C2orf83,238625,239125,238875
C2orf88,219878,220399,220149;220128
C2orf91,145467,145967,145717
C3,1332842,1333342,1333092
C3AR1,979324,979824,979574
C3F,978777,979277,979027
C3orf14,277129,277629,277379;277379
C3orf18,271279,271781,271529;271531
C3orf20,253335,253835,253585
C3orf22,309115,309615,309365
C3orf30,305409,305909,305659
C3orf33,323739,324239,323989
C3orf38,290076,290576,290326
C3orf52,301879,302379,302129;302129
C3orf58,317822,318322,318072;318072
C3orf62,270634,271134,270884
C3orf67,275494,275994,275744
C3orf70,338412,338912,338662
C3orf80,325948,326448,326198
C3orf84,270591,271091,270841
C4A,546999,547499,547249
C4B,547016,547516,547266
C4BPA,103389,103892,103639;103642
C4BPB,103382,103882,103632;103632;103632
C4orf17,395205,395705,395455
C4orf19,363716,364281,363966;364031
C4orf22,385617,386117,385867
C4orf26,383229,383729,383479
C4orf27,430328,430828,430578
C4orf3,405099,405600,405349;405350
C4orf32,401522,402022,401772
C4orf33,409996,410497,410247;410246
C4orf36,388895,389395,389145
C4orf45,424967,425467,425217
C4orf46,424785,425285,425035
C4orf48,346010,346510,346260
C4orf51,418289,418789,418539
C5,831242,831742,831492
C5AR1,1353388,1353888,1353638
C5AR2,1353399,1353902,1353649;1353652
C5ORF13,496113,496613,496363
C5orf22,456333,456833,456583
C5orf24,507657,508157,507907;507907;507907
C5orf28,462294,462808,462558;462544
C5orf30,491864,492364,492114;492114
C5orf34,462324,462824,462574;462574
C5orf38,441943,442443,442193;442193
C5orf42,459191,459691,459441
C5orf45,530209,530709,530459;530459
C5orf46,514210,514710,514460
C5orf47,527275,527775,527525
C5orf49,444492,444992,444742;444742
C5orf51,461519,462019,461769
C5orf52,519116,519616,519366
C5orf63,503771,504271,504021
C5orf67,468518,469018,468768
C6,461173,461697,461423;461433;461447
C6ORF37,572256,572756,572506
C6orf1,548133,548633,548383;548383
C6orf10,547194,547694,547444
C6orf106,548357,548857,548607
C6orf118,613886,614386,614136
C6orf120,616076,616576,616326
C6orf132,552080,552580,552330
C6orf136,546332,546832,546582;546582
C6orf141,555784,556284,556034
C6orf15,546565,547065,546815
C6orf163,575052,575552,575302
C6orf201,533064,533564,533314
C6orf203,584699,585199,584949;584949;584949
C6orf222,549177,549677,549427
C6orf223,553009,553509,553259
C6orf226,552454,552954,552704
C6orf229,543424,543924,543674
C6orf25,546870,547370,547120
C6orf47,546839,547339,547089
C6orf48,546926,547426,547176;547176
C6orf52,536372,536872,536622
C6orf58,594974,595474,595224
C6orf62,543384,543885,543635;543634
C6orf89,549444,549951,549701;549694
C7,461021,461521,461271
C7orf25,638058,638558,638308;638308
C7orf26,619897,620397,620147
C7orf31,629192,629692,629442;629442
C7orf34,687901,688401,688151
C7orf43,666461,666961,666711
C7orf49,684009,684510,684260;684260;684259;684260
C7orf50,617171,617671,617421
C7orf55,686095,686595,686345
C7orf55-LUC7L2,686096,686596,686346
C7orf57,640620,641120,640870
C7orf60,672872,673372,673122
C7orf61,666613,667113,666863
C7orf62,660795,661295,661045
C7orf73,684256,684756,684506
C8A,28411,28911,28661
C8B,28466,28966,28716
C8G,839255,839755,839505
C8orf22,721145,721645,721395
C8orf33,769291,769584,769541
C8orf34,730774,731274,731024;731024
C8orf37,744293,744793,744543
C8orf4,716158,716658,716408
C8orf44-SGK3,729942,730442,730192
C8orf46,729855,730355,730105;730105
C8orf48,702865,703365,703115
C8orf58,707381,707881,707631
C8orf59,739219,739719,739469
C8orf74,701418,701918,701668
C8orf76,758279,758779,758529
C8orf82,769030,769530,769280
C8orf86,715346,715846,715596
C8orf88,742151,742651,742401
C9,460249,460749,460499
C9ORF19,787404,787904,787654
C9orf114,835132,835632,835382
C9orf116,838531,839032,838781;838782
C9orf129,817390,817890,817640
C9orf131,786856,787357,787107;787106
C9orf135,805553,806053,805803
C9orf142,839279,839779,839529
C9orf152,825821,826321,826071
C9orf153,813770,814273,814023;814020
C9orf16,834797,835297,835047
C9orf173,839408,839908,839658
C9orf24,786526,787034,786776;786784
C9orf3,818080,818596,818330;818343;818346
C9orf40,808119,808619,808369
C9orf43,827422,827922,827672
C9orf47,815138,815638,815388;815388
C9orf50,835527,836027,835777
C9orf57,806673,807173,806923
C9orf64,812621,813121,812871
C9orf66,769586,769943,769693
C9orf69,838841,839341,839091;839091
C9orf72,783122,783622,783372;783372
C9orf78,835634,836134,835884
C9orf84,826596,827108,826858;826846
C9orf85,806599,807099,806849
C9orf9,837213,837713,837463
C9orf91,828022,828524,828272;828274
CA1,739279,739798,739548;739529
CA10,1274962,1275463,1275213;1275213;1275212
CA11,1354056,1354556,1354306;1354306
CA12,1185238,1185738,1185488;1185488
CA13,739231,739731,739481;739481
CA14,74866,75366,75116
CA2,739340,739841,739590;739591
CA3,739328,739828,739578
CA4,1278958,1279458,1279208
CA5A,1248652,1249152,1248902
CA5B,1448156,1448661,1448406;1448411
CA6,4253,4753,4503
CA7,1238106,1238606,1238356;1238356
CA8,726749,727249,726999
CA9,787172,787672,787422
CAAP1,782782,783282,783032;783032
CAB39,240165,240666,240415;240416
CAB39L,1067128,1067650,1067400;1067378;1067378;1067384
CABIN1,1426828,1427330,1427078;1427078;1427080
CABLES1,1300800,1301310,1301050;1301050;1301050;1301060
CABLES2,1389538,1390038,1389788
CABP1,1035754,1036259,1036009;1036004;1036008;1036009
CABP2,941356,941856,941606
CABP4,941320,941822,941570;941572
CABP5,1353755,1354255,1354005
CABP7,1429682,1430182,1429932
CABS1,380589,381089,380839
CABYR,1301302,1301802,1301552
CACFD1,837498,837998,837748
CACHD1,32219,32719,32469
CACNA1A,1336290,1336790,1336540;1336540
CACNA1B,839722,840192,839972
CACNA1C,976296,976796,976546;976546
CACNA1D,272741,273241,272991;272991;272991;272991
CACNA1E,90477,90977,90727
CACNA1F,1464822,1465322,1465072
CACNA1G,1274164,1274664,1274414;1274414
CACNA1H,1205268,1205768,1205518;1205518
CACNA1I,1434608,1435108,1434858
CACNA2D1,657619,658119,657869;657869
CACNA2D2,271244,271747,271497;271497;271494
CACNA2D3,273055,273555,273305
CACNA2D4,976228,976728,976478
CACNB1,1268521,1269021,1268771
CACNB2,849157,849787,849467;849407;849507;849407;849537;849408
CACNB3,999819,1000321,1000069;1000071;1000069
CACNB4,200792,201354,201104;201042;201104;201104
CACNG1,1282365,1282865,1282615
CACNG2,1433174,1433674,1433424
CACNG3,1216800,1217300,1217050;1217050
CACNG4,1282325,1282825,1282575
CACNG5,1282281,1282781,1282531
CACNG6,1356730,1357230,1356980
CACNG7,1356689,1357189,1356939
CACNG8,1356715,1357215,1356965
CACTIN,1331295,1331795,1331545
CACUL1,900200,900700,900450
CACYBP,87235,87735,87485;87485
CAD,138097,138597,138347
CADM1,965398,965898,965648
CADM2,288481,288981,288731
CADM3,79321,79821,79571
CADM4,1351553,1352053,1351803
CADPS,277407,277907,277657
CADPS2,677846,678346,678096;678096
CAGE1,534719,535219,534969
CALB1,741700,742200,741950
CALB2,1240363,1240863,1240613
CALCA,915207,915707,915457
CALCB,915258,915758,915508
CALCOCO1,1002275,1002775,1002525;1002525
CALCOCO2,1273299,1273799,1273549
CALCR,663185,663685,663435
CALCRL,218533,219033,218783
CALD1,683815,684371,684065;684121;684065;684121;684070
CALHM1,892552,893052,892802
CALHM2,892548,893049,892799;892798
CALHM3,892562,893062,892812
CALM1,1145157,1145657,1145407
CALM2,148078,148578,148328
CALM3,1353034,1353534,1353284
CALML3,842726,843226,842976
CALML4,1187649,1188150,1187900;1187899;1187899
CALML5,842713,843213,842963
CALN1,652521,653021,652771
CALR,1336006,1336506,1336256
CALR3,1337785,1338285,1338035
CALU,680772,681275,681022;681025
CALY,907518,907959,907768
CAMK1,250882,251382,251132
CAMK1D,846138,846638,846388;846388
CAMK1G,104629,105129,104879
CAMK2A,515401,515901,515651
CAMK2B,638765,639265,639015;639015
CAMK2D,402330,402830,402580;402580;402580;402580
CAMK2G,877760,878260,878010;878010
CAMK2N1,10157,10657,10407;10407
CAMK2N2,337966,338466,338216
CAMK4,495846,496347,496097;496096
CAMKK1,1251743,1252243,1251993
CAMKK2,1036071,1036582,1036332;1036321;1036332
CAMKMT,146671,147171,146921
CAMKV,270930,271430,271180
CAMLG,507604,508104,507854
CAMP,270109,270609,270359
CAMSAP1,838735,839235,838985
CAMSAP2,100105,100605,100355;100355
CAMSAP3,1333312,1333812,1333562
CAMTA1,3173,3673,3423
CAMTA2,1252290,1252790,1252540;1252540;1252540
CAND1,1009046,1009546,1009296;1009296
CAND2,252396,252896,252646
CANT1,1288345,1288847,1288597;1288595
CANX,530129,530629,530379
CAP1,20003,20504,20254;20253
CAP2,539721,540221,539971
CAPG,167195,167697,167447;167445;167445
CAPN1,940185,940685,940435;940435;940435;940435
CAPN10,245140,245640,245390
CAPN11,553088,553588,553338
CAPN12,1349099,1349599,1349349
CAPN13,139892,140392,140142
CAPN14,140092,140597,140347;140342
CAPN15,1204955,1205465,1205205;1205215
CAPN2,111695,112201,111951;111945;111951
CAPN3,1174726,1175249,1174999;1174976;1174998;1174976
CAPN5,946099,946599,946349
CAPN6,1495534,1496034,1495784
CAPN7,253600,254100,253850
CAPN8,111677,112177,111927
CAPN9,115192,115692,115442
CAPNS1,1347797,1348297,1348047;1348047;1348047
CAPNS2,1232467,1232967,1232717
CAPRIN1,924747,925247,924997;924997
CAPRIN2,990668,991168,990918;990918
CAPS,1332439,1332939,1332689;1332689
CAPS2,1013076,1013576,1013326
CAPSL,458536,459036,458786
CAPZA1,56331,205036,56581;204786
CAPZA2,674834,675334,675084
CAPZA3,984660,985160,984910
CAPZB,9640,10156,9906;9890
CARD10,1433582,1434082,1433832
CARD11,618124,618624,618374
CARD14,1288921,1289421,1289171
CARD16,960169,960669,960419
CARD17,960197,960697,960447
